'Frame','Jitter'
'1175','0.128123'
'1176','0.15918'
'1177','0.129609'
'1178','0.136764'
'1179','0.12923'
'1180','0.128972'
'1181','0.128251'
'1182','0.127884'
'1183','0.128155'
'1184','0.127873'
'1185','0.158296'
'1186','0.117519'
'1187','0.127857'
'1188','0.128363'
'1189','0.169654'
'1190','0.128029'
'1191','0.128386'
'1192','0.128284'
'1193','0.129'
'1194','0.128015'
'1195','0.159181'
'1196','0.132816'
'1197','0.129832'
'1198','0.128213'
'1199','0.128145'
'1200','0.12787'
'1201','0.128096'
'1202','0.160402'
'1203','0.129212'
'1204','0.136339'
'1205','0.127186'
'1206','0.128817'
'1207','0.12928'
'1208','0.128351'
'1209','0.127791'
'1210','0.160485'
'1211','0.129004'
'1212','0.13603'
'1213','0.129205'
'1214','0.127999'
'1215','0.128197'
'1216','0.127675'
'1217','0.128339'
'1218','0.159555'
'1219','0.129313'
'1220','0.136698'
'1221','0.127758'
'1222','0.129464'
'1223','0.126979'
'1224','0.129169'
'1225','0.127937'
'1226','0.128445'
'1227','0.16018'
'1228','0.135573'
'1229','0.130684'
'1230','0.12801'
'1231','0.126946'
'1232','0.127779'
'1233','0.127984'
'1234','0.128476'
'1235','0.161188'
'1236','0.13304'
'1237','0.128213'
'1238','0.127849'
'1239','0.128406'
'1240','0.127987'
'1241','0.128196'
'1242','0.160287'
'1243','0.129285'
'1244','0.1328'
'1245','0.128128'
'1246','0.12794'
'1247','0.128228'
'1248','0.128111'
'1249','0.159501'
'1250','0.12894'
'1251','0.128452'
'1252','0.136783'
'1253','0.128265'
'1254','0.128018'
'1255','0.128026'
'1256','0.128182'
'1257','0.160476'
'1258','0.128974'
'1259','0.129432'
'1260','0.103345'
'1261','0.159922'
'1262','0.129091'
'1263','0.128299'
'1264','0.127993'
'1265','0.128203'
'1266','0.127914'
'1267','0.160617'
'1268','0.101536'
'1269','0.161477'
'1270','0.128132'
'1271','0.127332'
'1272','0.127757'
'1273','0.128788'
'1274','0.128253'
'1275','0.159626'
'1276','0.132773'
'1277','0.12842'
'1278','0.127435'
'1279','0.127985'
'1280','0.128231'
'1281','0.127911'
'1282','0.159956'
'1283','0.129101'
'1284','0.13712'
'1285','0.128043'
'1286','0.127771'
'1287','0.128254'
'1288','0.12732'
'1289','0.128275'
'1290','0.159401'
'1291','0.128448'
'1292','0.136674'
'1293','0.12837'
'1294','0.127956'
'1295','0.128058'
'1296','0.128451'
'1297','0.477653'
'1298','0.1'
'1299','0.100001'
'1300','0.100001'
'1301','0.1'
'1302','0.100001'
'1303','0.1'
'1304','0.1'
'1305','0.1'
'1306','0.100001'
'1307','0.109461'
'1308','0.127885'
'1309','0.1281'
'1310','0.127971'
'1311','0.128253'
'1312','0.128532'
'1313','0.161325'
'1314','0.129043'
'1315','0.132264'
'1316','0.127907'
'1317','0.127947'
'1318','0.128028'
'1319','0.128263'
'1320','0.159467'
'1321','0.129246'
'1322','0.128044'
'1323','0.131773'
'1324','0.132214'
'1325','0.128122'
'1326','0.127662'
'1327','0.128257'
'1328','0.160669'
'1329','0.12818'
'1330','0.128117'
'1331','0.128239'
'1332','0.150138'
'1333','0.129455'
'1334','0.137401'
'1335','0.129078'
'1336','0.126991'
'1337','0.128212'
'1338','0.159323'
'1339','0.12928'
'1340','0.127854'
'1341','0.12925'
'1342','0.132039'
'1343','0.128164'
'1344','0.12801'
'1345','0.128307'
'1346','0.160013'
'1347','0.129407'
'1348','0.128177'
'1349','0.128023'
'1350','0.132999'
'1351','0.127977'
